,hamming,position,discount
1,2,0,2.558916293991458
2,5,3,10.156131765506903
3,0,0,0.0
4,5,1,7.559645975796203
5,3,0,2.6221406019998224
6,4,0,5.810956322546712
7,2,0,2.558916293991458
8,2,0,2.558916293991458
9,2,3,6.192089926345725
10,2,0,1.179445561110859
11,0,0,0.0
12,4,2,5.507530683777749
13,5,3,7.697228057400315
14,4,2,6.4605150429870095
15,4,0,4.279382161360262
16,5,2,5.696422389960105
17,2,0,1.179445561110859
18,4,0,5.622064616364357
19,0,0,0.0
20,2,0,1.179445561110859
