id,A1,A2,A3,A4,A5
1,Kraft,Dehnung,Entspannung,Taiji,Kardio
2,Kraft,Kardio,Dehnung,Entspannung,Taiji
3,Entspannung,Dehnung,Kraft,Kardio,Taiji
4,Taiji,Kardio,Entspannung,Kraft,Dehnung
5,Kraft,Kardio,Entspannung,Taiji,Dehnung
6,Dehnung,Taiji,Kardio,Kraft,Entspannung
7,Kraft,Taiji,Kardio,Entspannung,Dehnung
8,Kraft,Kardio,Taiji,Entspannung,Dehnung
9,Dehnung,Kraft,Taiji,Kardio,Entspannung
10,Kraft,Entspannung,Dehnung,Taiji,Kardio
11,Taiji,Entspannung,Dehnung,Kraft,Kardio
12,Taiji,Kraft,Kardio,Entspannung,Dehnung
13,Kardio,Dehnung,Taiji,Kraft,Entspannung
14,Taiji,Kraft,Kardio,Entspannung,Dehnung
15,Kraft,Kardio,Taiji,Dehnung,Entspannung
16,Entspannung,Kraft,Kardio,Taiji,Dehnung
17,Kraft,Kardio,Entspannung,Taiji,Dehnung
18,Taiji,Kraft,Kardio,Entspannung,Dehnung
19,Dehnung,Taiji,Kraft,Entspannung,Kardio
20,Kraft,Taiji,Entspannung,Kardio,Dehnung
